 : 24848
~~~~~~~~~~~~~~~~~ : 1997
分类 : 265
深龋 : 159
毛氏Ⅰ类 : 131
慢性牙周炎 : 121
慢性牙髓炎 : 118
慢性根尖周炎 : 114
中龋 : 92
安氏Ⅱ类 : 80
毛氏Ⅱ类 : 73
分类、毛氏Ⅳ类 : 70
安氏I类 : 66
牙列缺损 : 63
分类、毛氏Ⅰ类 : 60
牙体缺损 : 58
楔状缺损 : 52
残根 : 50
安氏Ⅲ类 : 50
骨性Ⅱ类高角 : 48
分类、毛氏Ⅱ类 : 47
深龋? : 43
残冠 : 42
安氏II类 : 36
重度低龄儿童龋 : 35
分类亚类 : 33
继发龋 : 33
/ : 32
近中阻生 : 28
真菌感染 : 26
可复性盘前移位 : 25
骨性Ⅱ类均角 : 24
骨性Ⅰ类 : 23
安氏Ⅲ类亚类 : 23
重度牙周炎 : 23
骨性Ⅰ类高角 : 23
骨性Ⅰ类均角 : 23
阻生牙 : 22
真菌感染? : 22
颊向阻生 : 22
乳牙滞留 : 21
不可复性盘前移位 : 21
冠折未露髓 : 20
扁平苔藓 : 19
骨性Ⅲ类高角 : 18
深窝沟 : 18
骨关节病 : 17
错合畸形 : 16
根折 : 16
扁平苔藓? : 16
继发龋（深） : 16
牙列缺失 : 16
牙周病 : 16
灼口综合症 : 16
轻型复发性口腔溃疡 : 16
牙震荡 : 15
慢性牙髓炎? : 15
冠折露髓 : 14
骨性Ⅱ类 : 14
阻生齿 : 14
地图舌 : 13
牙本质敏感症 : 13
不完善根管治疗 : 13
浅龋 : 13
智齿冠周炎 : 12
毛氏Ⅳ类 : 12
软组织损伤 : 12
骨性Ⅲ类 : 12
牙周脓肿 : 12
正畸减数牙 : 12
分类、毛氏Ⅲ类 : 12
急性根尖周炎 : 12
充填体脱落 : 12
继发龋（深）? : 11
慢性根尖周炎? : 11
骨性Ⅲ类均角 : 11
牙隐裂 : 11
骨性Ⅱ类低角 : 10
肿物待查 : 10
继发龋? : 10
肌筋膜疼痛 : 10
口干待查 : 10
关节痛 : 10
沟纹舌 : 10
磨损 : 9
额外牙 : 9
毛氏Ⅰ类、毛氏Ⅱ类 : 9
牙周牙髓联合病变 : 9
牙劈裂 : 9
牙槽脓肿 : 9
急性牙髓炎 : 9
龈乳头炎 : 9
牙微裂 : 8
外院牙髓治疗后 : 8
滑膜炎 : 8
牙髓坏死 : 8
埋伏阻生 : 8
釉质发育不全 : 8
骨关节病? : 8
冠根折露髓 : 8
牙齿阻生 : 8
异位皮脂腺 : 8
颞下颌关节不对称 : 7
牙半脱位 : 7
菌斑性龈炎 : 7
慢性唇炎 : 7
牙龈乳头炎 : 7
不可复性盘前移位? : 7
水平阻生 : 7
劈裂牙 : 7
复发性阿弗他溃疡 : 7
磨牙症 : 7
关节盘移位 : 6
牙齿先天缺失 : 6
继发龋（牙髓治疗后） : 6
骨关节炎? : 6
创伤性病损 : 6
冠周炎 : 6
骨关节炎 : 6
关节盘绞锁 : 6
冠根折 : 6
颞下颌关节损伤 : 6
釉质折断 : 6
牙髓牙周联合征 : 6
垂直阻生 : 6
复杂冠根折 : 6
中龋? : 5
牙齿早失 : 5
牙齿全脱出 : 5
灼口综合症? : 5
急性牙髓炎? : 5
釉质裂纹 : 5
慢性牙髓炎急性发作 : 5
正位智齿 : 5
过长牙 : 5
疼痛待查 : 5
开合 : 5
三叉神经痛? : 5
慢性根尖周炎（牙髓治疗后） : 5
牙本质折断 : 5
骨性Ⅰ类低角 : 5
咀嚼肌疼痛 : 4
安氏II : 4
牙齿侧向移位 : 4
可复性牙髓炎 : 4
牙列缺损? : 4
可复性牙髓炎? : 4
白斑 : 4
贫血性口炎 : 4
下颌 : 4
牙齿部分脱出 : 4
慢性根尖周炎急性发作 : 4
苔藓样变 : 4
牙周-牙髓联合病变 : 4
远中阻生 : 4
舌向阻生 : 4
龋 : 4
慢性根尖周炎(外院牙髓治疗后) : 4
牙髓治疗后 : 4
牙龈瘤 : 4
牙外吸收 : 4
再发龋 : 4
牙齿亚脱位 : 4
牙根吸收 : 4
牙间隙 : 4
牙隐裂? : 4
牙齿震荡 : 4
选择性根管治疗（修复治疗需要） : 4
创伤性溃疡 : 4
牙周炎伴糖尿病 : 4
毛氏Ⅲ类 : 4
慢性盘状红斑狼疮 : 3
类天疱疮? : 3
咬合创伤 : 3
口腔溃疡 : 3
慢性盘状红斑狼疮? : 3
ANG : 3
慢性牙髓炎急性发作? : 3
牙周牙髓联合病 : 3
白斑? : 3
毛舌 : 3
牙髓治疗中 : 3
根折? : 3
慢性牙髓炎外院治疗中 : 3
白色角化症 : 3
静脉畸形 : 3
急性根尖周炎? : 3
拔牙术后 : 3
根尖周炎 : 3
舌痛症(灼口综合征)? : 3
氟牙症 : 3
牙龈退缩 : 3
外院牙髓治疗中 : 3
+I : 3
牙齿异位萌出 : 3
根纵裂? : 3
正常口腔黏膜 : 3
牙槽突骨折 : 3
诊断： : 3
颞下颌关节紊乱病 : 3
冠周脓肿 : 3
上下颌 : 3
苔藓样变? : 3
慢性根尖周炎(外院开髓后) : 3
楔状缺损? : 3
表格<诊断>内容 : 3
多生牙 : 3
冠折 : 3
牙本质过敏症 : 3
面部斑痣 : 3
牙髓坏死? : 3
干燥综合征 : 3
复发性口腔溃疡 : 3
慢性牙髓炎?(牙隐裂) : 3
颌骨囊肿 : 3
真菌感染？ : 3
开口受限待查 : 3
额外牙( : 3
上颌 : 3
逆行性牙髓炎 : 2
药物性牙龈肥大 : 2
角缺损) : 2
毛氏III类 : 2
多形红斑? : 2
侵袭性牙周炎? : 2
+Ⅱ : 2
贯通伤 : 2
复发性阿弗他溃疡? : 2
修复体破坏 : 2
反合 : 2
腮腺良性肥大? : 2
充填体折断(牙髓治疗后) : 2
慢性牙周炎? : 2
无对牙合牙 : 2
) : 2
间) : 2
年 : 2
继发龋(根管治疗后) : 2
鼾症和睡眠呼吸暂停及低通气综合征 : 2
口腔检查 : 2
处 : 2
溃疡 : 2
下颌骨囊肿 : 2
慢性根尖周炎(外伤后) : 2
毛氏Ⅴ类 : 2
牙周脓肿? : 2
倒置阻生 : 2
不全冠折 : 2
劈裂牙? : 2
慢性根尖周炎(牙髓治疗后) : 2
萌出性龈炎 : 2
修复前治疗 : 2
唇系带附着过低 : 2
牙本质敏感症? : 2
， : 2
II : 2
轻型复发性口腔溃疡? : 2
骨性Ⅲ类低角 : 2
肿物待查(左颊粘膜) : 2
牙龈增生 : 2
糜烂待查 : 2
慢性根尖周炎(根管治疗后) : 2
含牙囊肿 : 2
口腔粘膜白色水肿 : 2
畸形牙 : 2
牙齿迟萌 : 2
替牙期早期错咬合 : 2
充填体折断 : 2
残冠(慢性根尖周炎) : 2
关节盘移位? : 2
外源性染色 : 2
黏液囊肿 : 2
干槽症 : 2
龋待查 : 2
面痛待查 : 2
慢性根尖炎 : 2
溃疡待查 : 2
肿物待查(右侧翼颌韧带) : 2
抑郁症? : 2
深龋(？) : 2
错位牙 : 2
天疱疮? : 2
牙齿亚脱位? : 2
治疗计划： : 2
不良充填体 : 2
慢性根尖周炎外院治疗中 : 2
AngII : 2
黏液囊肿? : 2
智齿冠周炎? : 2
肿物待查(左舌) : 2
继发龋(深龋) : 2
牙齿部分脱出(急诊复位固定后) : 2
囊性肿物 : 2
牙髓坏死(牙半脱位后) : 2
半脱位 : 2
骨性I类 : 2
修复体崩瓷 : 2
疱疹性龈口炎 : 2
感染性口炎 : 2
个别牙错合畸形 : 2
上颌牙列缺损 : 2
牙齿嵌入 : 2
牙根纵裂 : 2
慢性根尖周炎(牙根外吸收) : 2
残根? : 2
保持器脱落 : 2
舌痛症(灼口综合征) : 2
移位牙 : 2
口腔粘膜下纤维化? : 2
不良修复体 : 2
变色牙 : 2
粘液囊肿 : 2
创伤性根周膜炎? : 2
侵袭性牙周炎 : 2
不完善牙髓治疗? : 2
OSCC : 2
根纵裂 : 2
牙拔除术后 : 2
粘膜刺伤 : 1
斑块状白斑(右下后牙牙龈) : 1
急性根尖周炎(牙隐裂) : 1
头颅侧位片 : 1
充填体脱落(充填后) : 1
